noise1,noise2
0.05,-0.03
0.05,-0.04
0.05,-0.035
0.05,-0.03
0.045,-0.025
0.045,-0.025
0.04,-0.02
0.045,-0.025
0.045,-0.025
0.05,-0.035
0.05,-0.045
0.05,-0.05
0.045,-0.03
0.05,-0.035
0.045,-0.025
0.05,-0.025
0.05,-0.03
0.06,-0.04
0.05,-0.015
0.045,-0.02
0.05,-0.03
0.05,-0.02
0.055,-0.015
0.055,-0.02
0.065,-0.02
0.06,-0.025
0.055,-0.035
0.055,-0.045
0.055,-0.03
0.065,-0.025
0.07,-0.025
0.06,-0.025
0.06,-0.03
0.065,-0.03
0.07,-0.025
0.075,-0.03
0.085,-0.035
0.105,-0.025
0.085,-0.035
0.075,-0.035
0.075,-0.025
0.085,-0.025
0.08,-0.03
0.07,-0.03
0.065,-0.035
0.065,-0.035
0.075,-0.035
0.075,-0.035
0.085,-0.035
0.08,-0.035
0.08,-0.05
0.085,-0.05
0.075,-0.05
0.055,-0.055
0.07,-0.055
0.08,-0.06
0.09,-0.065
0.08,-0.055
0.08,-0.045
0.085,-0.04
0.09,-0.05
0.105,-0.05
0.11,-0.05
0.1,-0.055
0.1,-0.06
0.1,-0.055
0.095,-0.045
0.095,-0.045
0.095,-0.04
0.095,-0.035
0.095,-0.055
0.095,-0.06
0.1,-0.055
0.11,-0.045
0.11,-0.04
0.11,-0.035
0.105,-0.04
0.12,-0.055
0.12,-0.06
0.115,-0.055
0.115,-0.035
0.115,-0.035
0.12,-0.04
0.12,-0.04
0.12,-0.05
0.12,-0.055
0.13,-0.055
0.13,-0.05
0.13,-0.045
0.12,-0.04
0.145,-0.04
0.15,-0.045
0.145,-0.055
0.135,-0.05
0.13,-0.055
0.13,-0.065
0.14,-0.065
0.135,-0.065
0.13,-0.06
0.14,-0.06
0.14,-0.06
0.14,-0.055
0.145,-0.055
0.145,-0.06
0.145,-0.065
0.145,-0.07
0.14,-0.07
0.135,-0.045
0.13,-0.04
0.14,-0.06
0.14,-0.06
0.14,-0.065
0.13,-0.07
0.13,-0.07
0.135,-0.075
0.14,-0.085
0.14,-0.08
0.145,-0.07
0.15,-0.065
0.15,-0.06
0.16,-0.08
0.165,-0.075
0.17,-0.065
0.17,-0.065
0.175,-0.07
0.17,-0.09
0.16,-0.08
0.165,-0.075
0.17,-0.075
0.155,-0.075
0.155,-0.075
0.16,-0.085
0.16,-0.085
0.155,-0.085
0.155,-0.08
0.17,-0.09
0.165,-0.09
0.165,-0.095
0.17,-0.1
0.17,-0.08
0.17,-0.08
0.18,-0.09
0.18,-0.085
0.195,-0.09
0.205,-0.09
0.21,-0.07
0.185,-0.07
0.175,-0.07
0.175,-0.06
0.175,-0.07
0.165,-0.08
0.16,-0.09
0.16,-0.09
0.16,-0.09
0.165,-0.08
0.165,-0.08
0.165,-0.08
0.16,-0.085
0.17,-0.095
0.17,-0.095
0.165,-0.095
0.155,-0.105
0.175,-0.105
0.18,-0.1
0.18,-0.095
0.17,-0.095
0.17,-0.09
0.175,-0.095
0.18,-0.095
0.18,-0.095
0.18,-0.1
0.18,-0.1
0.17,-0.1
0.17,-0.11
0.175,-0.115
0.17,-0.115
0.17,-0.1
0.175,-0.09
0.175,-0.105
0.185,-0.11
0.185,-0.115
0.175,-0.115
0.18,-0.115
0.185,-0.115
0.19,-0.115
0.18,-0.11
0.175,-0.11
0.17,-0.115
0.17,-0.11
0.175,-0.105
0.185,-0.105
0.185,-0.105
0.175,-0.1
0.18,-0.105
0.18,-0.105
0.18,-0.12
0.18,-0.125
0.19,-0.115
0.19,-0.115
0.19,-0.115
0.195,-0.125
0.205,-0.115
0.205,-0.115
0.195,-0.125
0.19,-0.12
0.19,-0.12
0.19,-0.12
0.195,-0.105
0.195,-0.12
0.195,-0.125
0.19,-0.12
0.19,-0.12
0.2,-0.115
0.205,-0.11
0.2,-0.115
0.205,-0.12
0.21,-0.115
0.21,-0.115
0.21,-0.115
0.205,-0.115
0.21,-0.125
0.21,-0.125
0.215,-0.115
0.22,-0.11
0.21,-0.105
0.22,-0.105
0.23,-0.11
0.23,-0.11
0.215,-0.12
0.215,-0.12
0.225,-0.1
0.215,-0.115
0.22,-0.125
0.235,-0.125
0.235,-0.125
0.24,-0.125
0.235,-0.13
0.23,-0.13
0.22,-0.12
0.215,-0.105
0.22,-0.095
0.22,-0.11
0.225,-0.11
0.22,-0.095
0.22,-0.11
0.22,-0.12
0.225,-0.125
0.225,-0.125
0.225,-0.125
0.215,-0.12
0.215,-0.115
0.215,-0.12
0.22,-0.12
0.23,-0.11
0.23,-0.105
0.235,-0.11
0.225,-0.125
0.23,-0.12
0.24,-0.115
0.245,-0.12
0.245,-0.105
0.245,-0.105
0.25,-0.11
0.25,-0.11
0.245,-0.115
0.255,-0.12
0.26,-0.1
0.26,-0.13
0.255,-0.14
0.245,-0.14
0.255,-0.13
0.26,-0.125
0.26,-0.12
0.28,-0.11
0.28,-0.12
0.27,-0.13
0.26,-0.13
0.26,-0.125
0.265,-0.12
0.255,-0.11
0.25,-0.11
0.26,-0.115
0.28,-0.12
0.28,-0.12
0.27,-0.125
0.26,-0.135
0.26,-0.12
0.27,-0.115
0.275,-0.115
0.28,-0.125
0.28,-0.135
0.285,-0.14
0.3,-0.135
0.28,-0.135
0.28,-0.135
0.285,-0.135
0.295,-0.13
0.29,-0.125
0.28,-0.125
0.28,-0.125
0.275,-0.13
0.28,-0.12
0.275,-0.12
0.28,-0.12
0.285,-0.12
0.29,-0.12
0.29,-0.125
0.285,-0.125
0.29,-0.115
0.3,-0.115
0.295,-0.13
0.285,-0.135
0.29,-0.105
0.285,-0.11
0.28,-0.115
0.28,-0.11
0.28,-0.13
0.285,-0.14
0.285,-0.14
0.285,-0.125
0.285,-0.12
0.29,-0.115
0.29,-0.125
0.29,-0.135
0.29,-0.13
0.285,-0.11
0.285,-0.11
0.29,-0.115
0.3,-0.12
0.29,-0.13
0.295,-0.13
0.305,-0.12
0.305,-0.12
0.295,-0.115
0.28,-0.115
0.28,-0.115
0.32,-0.11
0.325,-0.11
0.3,-0.12
0.3,-0.115
0.305,-0.11
0.3,-0.105
0.3,-0.105
0.31,-0.11
0.325,-0.105
0.32,-0.105
0.315,-0.11
0.32,-0.11
0.34,-0.115
0.335,-0.115
0.325,-0.115
0.315,-0.115
0.325,-0.11
0.325,-0.105
0.315,-0.105
0.325,-0.105
0.335,-0.105
0.34,-0.1
0.345,-0.1
0.325,-0.105
0.315,-0.105
0.335,-0.095
0.345,-0.095
0.35,-0.1
0.34,-0.11
0.36,-0.105
0.36,-0.1
0.355,-0.095
0.35,-0.095
0.36,-0.1
0.365,-0.095
0.37,-0.1
0.36,-0.085
0.36,-0.095
0.35,-0.11
0.365,-0.11
0.37,-0.105
0.365,-0.105
0.365,-0.115
0.36,-0.12
0.355,-0.12
0.355,-0.1
0.365,-0.095
0.375,-0.1
0.375,-0.1
0.385,-0.095
0.375,-0.09
0.35,-0.1
0.35,-0.1
0.355,-0.11
0.36,-0.12
0.36,-0.11
0.365,-0.115
0.37,-0.12
0.36,-0.105
0.365,-0.105
0.37,-0.11
0.365,-0.11
0.36,-0.105
0.36,-0.1
0.375,-0.11
0.375,-0.13
0.38,-0.12
0.38,-0.105
0.365,-0.105
0.37,-0.11
0.38,-0.12
0.38,-0.12
0.37,-0.11
0.365,-0.105
0.365,-0.115
0.375,-0.115
0.38,-0.11
0.38,-0.11
0.38,-0.105
0.38,-0.115
0.365,-0.115
0.375,-0.105
0.38,-0.115
0.375,-0.125
0.385,-0.115
0.38,-0.12
0.375,-0.115
0.38,-0.095
0.38,-0.12
0.385,-0.125
0.38,-0.12
0.38,-0.13
0.38,-0.14
0.37,-0.14
0.375,-0.115
0.395,-0.115
0.405,-0.12
0.41,-0.12
0.405,-0.12
0.4,-0.125
0.395,-0.12
0.395,-0.125
0.395,-0.125
0.39,-0.12
0.405,-0.12
0.41,-0.125
0.41,-0.125
0.41,-0.13
0.395,-0.11
0.385,-0.115
0.395,-0.12
0.4,-0.11
0.405,-0.105
0.4,-0.105
0.405,-0.11
0.41,-0.115
0.405,-0.12
0.405,-0.13
0.4,-0.12
0.39,-0.11
0.4,-0.115
0.39,-0.12
0.39,-0.13
0.41,-0.14
0.39,-0.13
0.385,-0.125
0.395,-0.13
0.38,-0.115
0.37,-0.11
0.375,-0.115
0.4,-0.13
0.395,-0.135
0.395,-0.135
0.415,-0.125
0.4,-0.13
0.405,-0.135
0.425,-0.125
0.42,-0.135
0.425,-0.14
0.42,-0.145
0.43,-0.135
0.42,-0.13
0.405,-0.125
0.405,-0.125
0.42,-0.13
0.42,-0.125
0.405,-0.135
0.405,-0.145
0.4,-0.135
0.39,-0.115
0.41,-0.13
0.405,-0.13
0.395,-0.125
0.4,-0.135
0.415,-0.14
0.42,-0.14
0.4,-0.13
0.41,-0.135
0.415,-0.14
0.42,-0.13
0.425,-0.12
0.435,-0.115
0.44,-0.12
0.41,-0.13
0.415,-0.135
0.425,-0.14
0.42,-0.14
0.43,-0.135
0.435,-0.125
0.425,-0.115
0.43,-0.13
0.43,-0.14
0.42,-0.13
0.425,-0.12
0.435,-0.125
0.44,-0.135
0.44,-0.135
0.44,-0.13
0.44,-0.135
0.445,-0.135
0.425,-0.135
0.43,-0.14
0.425,-0.135
0.41,-0.15
0.405,-0.155
0.41,-0.145
0.42,-0.145
0.42,-0.14
0.415,-0.14
0.425,-0.145
0.43,-0.155
0.425,-0.155
0.415,-0.135
0.415,-0.14
0.415,-0.145
0.43,-0.135
0.425,-0.15
0.425,-0.15
0.435,-0.14
0.425,-0.155
0.42,-0.165
0.42,-0.165
0.42,-0.135
0.425,-0.13
0.42,-0.13
0.425,-0.14
0.42,-0.14
0.415,-0.145
0.425,-0.16
0.425,-0.16
0.43,-0.16
0.435,-0.155
0.415,-0.17
0.41,-0.165
0.41,-0.155
0.405,-0.155
0.435,-0.155
0.44,-0.165
0.45,-0.175
0.435,-0.17
0.43,-0.165
0.435,-0.155
0.415,-0.145
0.415,-0.15
0.425,-0.16
0.415,-0.16
0.415,-0.16
0.425,-0.155
0.435,-0.145
0.43,-0.145
0.425,-0.15
0.42,-0.165
0.415,-0.145
0.42,-0.145
0.435,-0.155
0.415,-0.17
0.42,-0.17
0.43,-0.16
0.42,-0.165
0.425,-0.15
0.43,-0.14
0.425,-0.155
0.425,-0.155
0.43,-0.16
0.44,-0.175
0.42,-0.145
0.425,-0.145
0.44,-0.16
0.44,-0.155
0.435,-0.155
0.435,-0.16
0.435,-0.16
0.445,-0.155
0.45,-0.155
0.44,-0.175
0.44,-0.175
0.43,-0.16
0.42,-0.14
0.435,-0.15
0.44,-0.155
0.435,-0.16
0.435,-0.16
0.43,-0.16
0.43,-0.15
0.435,-0.135
0.425,-0.16
0.425,-0.165
0.435,-0.15
0.43,-0.15
0.425,-0.155
0.42,-0.16
0.425,-0.18
0.425,-0.165
0.42,-0.15
0.42,-0.155
0.42,-0.165
0.43,-0.165
0.445,-0.155
0.445,-0.15
0.445,-0.145
0.455,-0.15
0.445,-0.15
0.44,-0.15
0.445,-0.15
0.445,-0.145
0.45,-0.14
0.445,-0.135
0.445,-0.135
0.44,-0.15
0.435,-0.155
0.445,-0.145
0.445,-0.145
0.435,-0.14
0.415,-0.14
0.435,-0.135
0.44,-0.135
0.44,-0.145
0.43,-0.14
0.425,-0.135
0.435,-0.135
0.455,-0.145
0.455,-0.135
0.45,-0.13
0.455,-0.135
0.445,-0.15
0.445,-0.155
0.45,-0.15
0.45,-0.14
0.445,-0.14
0.445,-0.145
0.465,-0.145
0.45,-0.15
0.435,-0.155
0.445,-0.145
0.445,-0.12
0.44,-0.11
0.445,-0.11
0.45,-0.11
0.46,-0.12
0.465,-0.13
0.445,-0.145
0.445,-0.155
0.45,-0.16
0.45,-0.16
0.46,-0.145
0.455,-0.15
0.455,-0.15
0.45,-0.135
0.445,-0.135
0.445,-0.15
0.445,-0.145
0.45,-0.13
0.45,-0.125
0.46,-0.135
0.465,-0.145
0.46,-0.15
0.45,-0.13
0.45,-0.13
0.455,-0.135
0.455,-0.14
0.455,-0.14
0.455,-0.135
0.465,-0.13
0.475,-0.13
0.47,-0.14
0.455,-0.155
0.455,-0.155
0.46,-0.155
0.46,-0.15
0.46,-0.135
0.46,-0.135
0.46,-0.14
0.465,-0.145
0.47,-0.155
0.47,-0.165
0.465,-0.165
0.485,-0.145
0.48,-0.155
0.47,-0.165
0.47,-0.165
0.495,-0.16
0.5,-0.165
0.495,-0.175
0.495,-0.16
0.495,-0.155
0.485,-0.145
0.5,-0.145
0.505,-0.15
0.5,-0.16
0.495,-0.165
0.49,-0.165
0.49,-0.155
0.48,-0.145
0.48,-0.15
0.485,-0.15
0.49,-0.14
0.495,-0.145
0.495,-0.15
0.485,-0.145
0.495,-0.14
0.5,-0.135
0.495,-0.13
0.485,-0.145
0.48,-0.15
0.48,-0.15
0.49,-0.14
0.49,-0.14
0.49,-0.145
0.49,-0.15
0.495,-0.145
0.5,-0.14
0.5,-0.145
0.515,-0.145
0.52,-0.145
0.515,-0.14
0.515,-0.14
0.5,-0.125
0.5,-0.115
0.5,-0.115
0.5,-0.115
0.5,-0.115
0.505,-0.13
0.485,-0.13
0.48,-0.125
0.49,-0.125
0.5,-0.12
0.495,-0.115
0.49,-0.115
0.505,-0.125
0.49,-0.12
0.48,-0.12
0.475,-0.13
0.485,-0.13
0.49,-0.125
0.49,-0.12
0.485,-0.12
0.48,-0.125
0.485,-0.12
0.485,-0.11
0.495,-0.12
0.5,-0.125
0.505,-0.115
0.48,-0.12
0.475,-0.125
0.485,-0.135
0.485,-0.13
0.49,-0.135
0.485,-0.145
0.485,-0.14
0.485,-0.14
0.485,-0.145
0.485,-0.145
0.5,-0.13
0.49,-0.13
0.48,-0.135
0.48,-0.135
0.485,-0.135
0.49,-0.125
0.485,-0.14
0.475,-0.15
0.47,-0.155
0.47,-0.155
0.465,-0.145
0.47,-0.135
0.475,-0.145
0.465,-0.145
0.46,-0.135
0.47,-0.125
0.47,-0.125
0.465,-0.13
0.465,-0.145
0.46,-0.13
0.455,-0.13
0.46,-0.14
0.46,-0.13
0.465,-0.135
0.465,-0.145
0.45,-0.14
0.445,-0.13
0.44,-0.125
0.44,-0.125
0.44,-0.125
0.445,-0.12
0.45,-0.11
0.435,-0.12
0.445,-0.13
0.455,-0.135
0.455,-0.135
0.46,-0.13
0.465,-0.13
0.45,-0.115
0.45,-0.12
0.45,-0.125
0.45,-0.125
0.445,-0.105
0.44,-0.1
0.44,-0.11
0.45,-0.12
0.45,-0.125
0.44,-0.12
0.435,-0.12
0.445,-0.115
0.445,-0.11
0.45,-0.12
0.45,-0.12
0.455,-0.12
0.455,-0.11
0.435,-0.105
0.43,-0.11
0.425,-0.12
0.425,-0.11
0.415,-0.12
0.405,-0.125
0.41,-0.11
0.41,-0.12
0.41,-0.125
0.42,-0.125
0.42,-0.135
0.41,-0.13
0.405,-0.12
0.42,-0.12
0.415,-0.115
0.405,-0.125
0.405,-0.12
0.42,-0.125
0.415,-0.12
0.39,-0.13
0.405,-0.13
0.41,-0.12
0.41,-0.11
0.4,-0.115
0.395,-0.12
0.395,-0.12
0.39,-0.12
0.39,-0.125
0.395,-0.13
0.39,-0.13
0.39,-0.13
0.38,-0.125
0.37,-0.115
0.385,-0.135
0.385,-0.135
0.38,-0.12
0.38,-0.115
0.375,-0.115
0.375,-0.125
0.365,-0.13
0.36,-0.115
0.36,-0.11
0.355,-0.13
0.345,-0.13
0.35,-0.115
0.365,-0.1
0.35,-0.125
0.34,-0.13
0.335,-0.125
0.345,-0.11
0.35,-0.115
0.345,-0.125
0.345,-0.125
0.335,-0.125
0.325,-0.125
0.325,-0.14
0.31,-0.125
0.305,-0.115
0.315,-0.11
0.3,-0.11
0.3,-0.105
0.305,-0.1
0.305,-0.12
0.295,-0.13
0.29,-0.13
0.3,-0.11
0.29,-0.11
0.28,-0.11
0.265,-0.12
0.265,-0.1
0.265,-0.095
0.26,-0.09
0.26,-0.1
0.255,-0.115
0.255,-0.13
0.255,-0.13
0.255,-0.105
0.245,-0.1
0.23,-0.12
0.22,-0.12
0.22,-0.115
0.235,-0.12
0.22,-0.105
0.22,-0.1
0.23,-0.105
0.23,-0.105
0.225,-0.105
0.22,-0.1
0.22,-0.1
0.22,-0.095
0.215,-0.095
0.22,-0.105
0.22,-0.105
0.215,-0.1
0.2,-0.085
0.2,-0.095
0.195,-0.095
0.195,-0.09
0.21,-0.095
0.195,-0.1
0.185,-0.105
0.185,-0.12
0.185,-0.105
0.175,-0.095
0.165,-0.095
0.165,-0.11
0.165,-0.115
0.16,-0.11
0.155,-0.09
0.155,-0.085
0.165,-0.09
0.16,-0.08
0.16,-0.09
0.165,-0.1
0.17,-0.09
0.165,-0.08
0.16,-0.075
0.16,-0.085
0.16,-0.08
0.16,-0.08
0.155,-0.085
0.155,-0.08
0.155,-0.07
0.145,-0.065
0.145,-0.065
0.145,-0.08
0.14,-0.085
0.13,-0.075
0.135,-0.07
0.14,-0.065
0.14,-0.06
0.135,-0.06
0.14,-0.08
0.15,-0.1
0.15,-0.095
0.14,-0.09
0.135,-0.08
0.135,-0.065
0.125,-0.065
0.125,-0.065
0.135,-0.055
0.135,-0.06
0.135,-0.06
0.135,-0.055
0.12,-0.045
0.115,-0.05
0.11,-0.06
0.11,-0.065
0.125,-0.065
0.125,-0.055
0.105,-0.045
0.1,-0.06
0.095,-0.065
0.105,-0.065
0.09,-0.065
0.09,-0.065
0.095,-0.065
0.1,-0.065
0.1,-0.06
0.085,-0.055
0.09,-0.055
0.065,-0.04
0.065,-0.045
0.07,-0.075
0.07,-0.06
0.07,-0.055
0.065,-0.055
0.06,-0.055
0.055,-0.045
0.05,-0.035
0.05,-0.04
0.05,-0.05
0.055,-0.05
0.065,-0.03
0.06,-0.04
0.055,-0.05
0.05,-0.04
0.045,-0.04
0.045,-0.035
0.05,-0.035
0.045,-0.035
0.04,-0.03
0.035,-0.02
0.03,-0.02
0.03,-0.015
0.035,-0.015
0.025,-0.03
0.035,-0.03
0.045,-0.03
0.055,-0.03
0.045,-0.03
0.035,-0.035
0.03,-0.04
0.035,-0.025
0.035,-0.02
0.03,-0.015
0.03,-0.015
0.015,-0.02
0.015,-0.025
0.025,-0.02
0.025,-0.005
0.02,-0.005
0.03,-0.02
0.01,-0.02
0.005,-0.015
0.005,-0.01
0.005,-0.02
0.01,-0.025
0.01,-0.02
0.005,-0.015
-0.005,-0.015
-0.005,-0.015
0.005,-0.005
0.005,-0.005
0.005,-0.005
0.015,-0.015
0.005,-0.005
0.0,-0.005
0.0,-0.01
0.005,0.0
0.0,0.0
-0.01,0.0
-0.025,0.02
-0.015,0.005
-0.02,0.0
-0.03,0.01
-0.03,0.01
-0.03,0.005
-0.035,0.0
-0.035,0.0
-0.04,0.0
-0.045,0.01
-0.045,0.01
-0.025,0.0
-0.025,0.005
-0.04,0.005
-0.03,0.015
-0.02,0.02
-0.01,0.03
-0.025,0.015
-0.03,0.015
-0.03,0.02
-0.03,0.02
-0.025,0.025
-0.03,0.03
-0.02,0.02
-0.02,0.015
-0.025,0.02
-0.02,0.045
-0.025,0.025
-0.03,0.02
-0.025,0.025
-0.015,0.03
-0.015,0.035
-0.02,0.04
-0.01,0.04
-0.03,0.035
-0.045,0.04
-0.04,0.05
-0.04,0.05
-0.035,0.04
-0.035,0.02
-0.04,0.02
-0.035,0.035
-0.025,0.05
-0.025,0.05
-0.025,0.05
-0.035,0.045
-0.035,0.045
-0.02,0.05
-0.015,0.04
-0.03,0.03
-0.03,0.025
-0.03,0.025
-0.015,0.04
-0.02,0.05
-0.025,0.05
-0.02,0.045
-0.03,0.045
-0.03,0.05
-0.025,0.055
-0.025,0.06
-0.025,0.055
-0.03,0.05
-0.045,0.055
-0.045,0.055
-0.045,0.055
-0.04,0.05
-0.045,0.065
-0.05,0.07
-0.045,0.07
-0.04,0.07
-0.04,0.07
-0.045,0.065
-0.045,0.055
-0.045,0.055
-0.05,0.05
-0.055,0.05
-0.055,0.04
-0.045,0.045
-0.035,0.06
-0.045,0.07
-0.05,0.06
-0.05,0.045
-0.05,0.045
-0.03,0.065
-0.03,0.065
-0.055,0.05
-0.055,0.07
-0.06,0.075
-0.05,0.06
-0.05,0.055
-0.045,0.055
-0.04,0.07
-0.04,0.065
-0.04,0.06
-0.035,0.065
-0.025,0.06
-0.025,0.06
-0.02,0.05
-0.025,0.035
-0.025,0.05
-0.03,0.06
-0.04,0.065
-0.04,0.07
-0.04,0.07
-0.045,0.065
-0.055,0.06
-0.06,0.06
-0.055,0.07
-0.045,0.085
-0.05,0.075
-0.06,0.065
-0.07,0.055
-0.065,0.08
-0.05,0.085
-0.04,0.08
-0.04,0.08
-0.045,0.075
-0.055,0.08
-0.055,0.08
-0.06,0.08
-0.065,0.085
-0.045,0.075
-0.045,0.07
-0.05,0.065
-0.05,0.065
-0.055,0.08
-0.05,0.075
-0.04,0.065
-0.04,0.07
-0.045,0.08
-0.05,0.085
-0.055,0.09
-0.045,0.075
-0.035,0.07
-0.03,0.08
-0.05,0.06
-0.055,0.07
-0.055,0.095
-0.055,0.09
-0.04,0.09
-0.035,0.095
-0.045,0.085
-0.045,0.08
-0.045,0.075
-0.055,0.07
-0.055,0.085
-0.06,0.09
-0.065,0.085
-0.055,0.085
-0.055,0.07
-0.065,0.055
-0.06,0.055
-0.06,0.065
-0.07,0.075
-0.07,0.07
-0.065,0.09
-0.055,0.085
-0.045,0.08
-0.06,0.085
-0.065,0.08
-0.07,0.065
-0.07,0.065
-0.07,0.07
-0.065,0.07
-0.075,0.07
-0.075,0.08
-0.07,0.09
-0.08,0.08
-0.075,0.09
-0.07,0.085
-0.06,0.07
-0.06,0.07
-0.065,0.065
-0.06,0.07
-0.075,0.09
-0.075,0.09
-0.07,0.08
-0.07,0.085
-0.075,0.085
-0.075,0.085
-0.08,0.095
-0.07,0.07
-0.065,0.065
-0.065,0.08
-0.065,0.08
-0.07,0.085
-0.075,0.09
-0.06,0.09
-0.055,0.075
-0.055,0.065
-0.055,0.065
-0.065,0.07
-0.065,0.07
-0.055,0.06
-0.05,0.06
-0.055,0.06
-0.075,0.07
-0.065,0.07
-0.06,0.075
-0.055,0.07
-0.055,0.075
-0.06,0.08
-0.065,0.07
-0.075,0.06
-0.07,0.06
-0.065,0.06
-0.07,0.055
-0.05,0.055
-0.05,0.055
-0.06,0.05
-0.065,0.055
-0.06,0.06
-0.065,0.065
-0.07,0.065
-0.075,0.06
-0.075,0.055
-0.08,0.045
-0.065,0.055
-0.06,0.06
-0.07,0.06
-0.055,0.055
-0.06,0.055
-0.075,0.06
-0.07,0.06
-0.065,0.06
-0.07,0.065
-0.07,0.065
-0.07,0.06
-0.07,0.055
-0.075,0.055
-0.075,0.055
-0.08,0.06
-0.075,0.05
-0.075,0.05
-0.085,0.055
-0.09,0.065
-0.09,0.055
-0.1,0.045
-0.11,0.045
-0.11,0.055
-0.1,0.055
-0.095,0.065
-0.09,0.075
-0.1,0.07
-0.105,0.07
-0.1,0.08
-0.09,0.065
-0.09,0.06
-0.095,0.065
-0.105,0.065
-0.11,0.07
-0.11,0.075
-0.105,0.07
-0.12,0.075
-0.125,0.08
-0.11,0.085
-0.115,0.085
-0.12,0.085
-0.125,0.09
-0.125,0.115
-0.12,0.095
-0.125,0.08
-0.125,0.075
-0.115,0.085
-0.115,0.08
-0.105,0.085
-0.105,0.085
-0.1,0.085
-0.09,0.075
-0.09,0.08
-0.1,0.085
-0.105,0.085
-0.105,0.085
-0.105,0.095
-0.105,0.095
-0.1,0.08
-0.1,0.08
-0.1,0.085
-0.095,0.095
-0.09,0.09
-0.085,0.085
-0.08,0.085
-0.08,0.085
-0.09,0.085
-0.1,0.09
-0.075,0.09
-0.08,0.08
-0.085,0.075
-0.08,0.065
-0.08,0.06
-0.065,0.065
-0.045,0.08
-0.07,0.085
-0.075,0.085
-0.075,0.08
-0.075,0.085
-0.07,0.075
-0.065,0.06
-0.065,0.06
-0.07,0.065
-0.065,0.06
-0.065,0.065
-0.065,0.08
-0.06,0.085
-0.06,0.085
-0.045,0.075
-0.05,0.065
-0.06,0.065
-0.045,0.08
-0.05,0.09
-0.06,0.095
-0.06,0.08
-0.055,0.09
-0.055,0.09
-0.065,0.08
-0.06,0.075
-0.065,0.075
-0.08,0.08
-0.08,0.085
-0.07,0.09
-0.065,0.085
-0.075,0.095
-0.075,0.1
-0.075,0.1
-0.085,0.09
-0.085,0.085
-0.08,0.08
-0.07,0.08
-0.065,0.075
-0.07,0.07
-0.085,0.08
-0.085,0.1
-0.085,0.095
-0.085,0.09
-0.09,0.085
-0.1,0.1
-0.095,0.09
-0.08,0.075
-0.085,0.075
-0.09,0.08
-0.09,0.095
-0.09,0.095
-0.075,0.095
-0.06,0.095
-0.06,0.09
-0.07,0.09
-0.08,0.1
-0.06,0.09
-0.065,0.085
-0.07,0.085
-0.08,0.1
-0.06,0.1
-0.06,0.09
-0.065,0.08
-0.065,0.08
-0.065,0.085
-0.055,0.085
-0.06,0.07
-0.06,0.095
-0.055,0.11
-0.065,0.105
-0.055,0.09
-0.06,0.08
-0.075,0.085
-0.075,0.09
-0.065,0.105
-0.06,0.115
-0.065,0.09
-0.065,0.085
-0.055,0.095
-0.055,0.09
-0.065,0.115
-0.06,0.11
-0.05,0.095
-0.06,0.095
-0.065,0.1
-0.065,0.11
-0.045,0.105
-0.035,0.115
-0.025,0.125
-0.035,0.105
-0.04,0.095
-0.04,0.095
-0.035,0.11
-0.035,0.11
-0.03,0.1
-0.015,0.09
-0.02,0.11
-0.025,0.125
-0.025,0.13
-0.025,0.11
-0.015,0.11
-0.01,0.115
-0.015,0.115
-0.02,0.12
-0.015,0.11
-0.01,0.09
-0.01,0.095
-0.01,0.1
0.0,0.095
0.0,0.105
0.01,0.11
0.02,0.11
0.01,0.11
0.01,0.11
0.015,0.12
0.015,0.12
0.01,0.115
0.01,0.11
0.02,0.1
0.02,0.11
0.03,0.115
0.04,0.115
0.04,0.11
0.055,0.11
0.06,0.12
0.055,0.13
0.035,0.115
0.03,0.105
0.04,0.115
0.035,0.13
0.03,0.13
0.03,0.11
0.03,0.12
0.03,0.13
0.035,0.135
0.035,0.135
0.035,0.13
0.04,0.125
0.035,0.125
0.03,0.125
0.035,0.12
0.03,0.11
0.03,0.135
0.035,0.14
0.045,0.125
0.035,0.12
0.035,0.115
0.04,0.115
0.04,0.125
0.04,0.125
0.035,0.125
0.035,0.12
0.05,0.14
0.045,0.13
0.04,0.11
0.04,0.11
0.045,0.115
0.055,0.11
0.04,0.095
0.04,0.09
0.045,0.095
0.055,0.095
0.06,0.09
0.055,0.085
0.05,0.095
0.05,0.095
0.05,0.095
0.05,0.105
0.045,0.085
0.045,0.095
0.05,0.115
0.05,0.1
0.06,0.095
0.06,0.09
0.05,0.09
0.055,0.09
0.06,0.09
0.07,0.1
0.07,0.1
0.075,0.1
0.07,0.09
0.055,0.1
0.05,0.105
0.045,0.11
0.045,0.11
0.06,0.1
0.07,0.09
0.07,0.09
0.07,0.105
0.075,0.095
0.085,0.08
0.085,0.095
0.09,0.115
0.085,0.13
0.085,0.11
0.085,0.1
0.09,0.09
0.085,0.09
0.08,0.095
0.085,0.095
0.095,0.105
0.09,0.095
0.085,0.095
0.08,0.11
0.08,0.1
0.08,0.095
0.08,0.095
0.095,0.095
0.1,0.105
0.095,0.115
0.095,0.11
0.11,0.105
0.105,0.095
0.08,0.085
0.085,0.1
0.09,0.105
0.09,0.095
0.09,0.1
0.095,0.1
0.095,0.095
0.095,0.085
0.095,0.08
0.085,0.08
0.085,0.08
0.085,0.07
0.085,0.07
0.095,0.08
0.11,0.08
0.115,0.075
0.11,0.085
0.11,0.07
0.1,0.06
