"EM noise, signal 0","EM noise, signal 1"
0.35,-0.47
0.35,-0.46
0.3,-0.455
0.205,-0.465
0.115,-0.405
0.13,-0.37
0.24,-0.35
0.405,-0.38
0.46,-0.44
0.445,-0.495
0.365,-0.515
0.36,-0.485
0.385,-0.455
0.42,-0.455
0.39,-0.465
0.37,-0.465
0.38,-0.45
0.41,-0.44
0.44,-0.45
0.46,-0.47
0.41,-0.46
0.355,-0.455
0.325,-0.455
0.37,-0.455
0.395,-0.5
0.41,-0.545
0.41,-0.53
0.37,-0.53
0.325,-0.485
0.275,-0.46
0.2,-0.5
0.09,-0.515
-0.025,-0.51
-0.105,-0.485
-0.165,-0.475
-0.205,-0.465
-0.205,-0.455
-0.21,-0.46
-0.205,-0.47
-0.215,-0.48
-0.24,-0.48
-0.24,-0.48
-0.215,-0.475
-0.215,-0.465
-0.2,-0.46
-0.185,-0.465
-0.175,-0.445
-0.13,-0.435
-0.065,-0.435
0.035,-0.445
0.075,-0.425
0.095,-0.4
0.1,-0.38
0.17,-0.415
0.24,-0.43
0.295,-0.445
0.275,-0.47
0.265,-0.48
0.275,-0.485
0.335,-0.5
0.38,-0.51
0.41,-0.52
0.41,-0.52
0.48,-0.5
0.535,-0.49
0.575,-0.5
0.61,-0.48
0.69,-0.47
0.79,-0.48
0.87,-0.465
0.955,-0.46
1.025,-0.465
1.05,-0.465
1.07,-0.47
1.105,-0.495
1.15,-0.53
1.21,-0.54
1.245,-0.55
1.27,-0.565
1.27,-0.585
1.275,-0.565
1.28,-0.535
1.255,-0.535
1.145,-0.53
1.005,-0.525
0.845,-0.515
0.65,-0.51
0.46,-0.51
0.28,-0.52
0.18,-0.51
0.15,-0.5
0.17,-0.49
0.21,-0.465
0.26,-0.45
0.315,-0.435
0.37,-0.41
0.415,-0.395
0.455,-0.38
0.44,-0.385
0.52,-0.345
0.555,-0.33
0.595,-0.335
0.635,-0.305
0.65,-0.285
0.645,-0.265
0.675,-0.245
0.705,-0.245
0.725,-0.255
0.725,-0.265
0.745,-0.285
0.77,-0.305
0.795,-0.335
0.79,-0.345
0.79,-0.35
0.8,-0.35
0.8,-0.335
0.785,-0.32
0.77,-0.305
0.765,-0.32
0.76,-0.33
0.76,-0.35
0.755,-0.375
0.735,-0.4
0.72,-0.42
0.705,-0.43
0.705,-0.43
0.71,-0.43
0.715,-0.415
0.695,-0.44
0.685,-0.44
0.68,-0.435
0.665,-0.435
0.635,-0.44
0.6,-0.44
0.615,-0.435
0.505,-0.45
0.46,-0.445
0.41,-0.435
0.37,-0.45
0.305,-0.46
0.235,-0.45
0.18,-0.45
0.145,-0.445
0.11,-0.44
0.06,-0.44
0.03,-0.4
0.01,-0.385
0.005,-0.41
-0.005,-0.405
-0.01,-0.4
-0.025,-0.395
-0.06,-0.4
-0.08,-0.39
-0.095,-0.375
-0.095,-0.385
-0.095,-0.385
-0.09,-0.38
-0.115,-0.38
-0.12,-0.38
-0.12,-0.375
-0.135,-0.385
-0.12,-0.385
-0.12,-0.39
-0.135,-0.4
-0.115,-0.41
-0.12,-0.41
-0.135,-0.405
-0.155,-0.42
-0.16,-0.42
-0.15,-0.41
-0.155,-0.41
-0.135,-0.41
-0.13,-0.415
-0.125,-0.415
-0.115,-0.41
-0.11,-0.42
-0.105,-0.44
-0.085,-0.43
-0.075,-0.44
-0.065,-0.455
-0.06,-0.455
-0.065,-0.475
-0.08,-0.49
-0.09,-0.5
-0.08,-0.5
-0.08,-0.515
-0.095,-0.535
-0.095,-0.54
-0.095,-0.55
-0.095,-0.555
-0.095,-0.56
-0.085,-0.555
-0.08,-0.545
-0.08,-0.545
-0.08,-0.555
-0.085,-0.565
-0.08,-0.565
-0.065,-0.55
-0.04,-0.55
-0.015,-0.565
0.0,-0.565
0.015,-0.555
0.03,-0.54
0.035,-0.54
0.04,-0.56
0.035,-0.555
0.045,-0.57
-0.01,-0.565
-0.02,-0.595
-0.03,-0.615
-0.03,-0.615
-0.02,-0.63
0.005,-0.65
-0.005,-0.665
-0.005,-0.665
0.01,-0.665
0.035,-0.675
0.035,-0.685
0.02,-0.695
0.005,-0.705
0.005,-0.705
-0.01,-0.705
-0.025,-0.695
-0.045,-0.695
-0.05,-0.695
-0.045,-0.705
-0.035,-0.725
-0.03,-0.705
-0.03,-0.685
-0.015,-0.695
0.005,-0.7
0.02,-0.7
0.03,-0.715
0.03,-0.685
0.03,-0.675
0.035,-0.665
0.085,-0.67
0.11,-0.68
0.125,-0.685
0.125,-0.68
0.13,-0.68
0.14,-0.685
0.14,-0.685
0.2,-0.675
0.25,-0.68
0.29,-0.7
0.33,-0.695
0.32,-0.695
0.29,-0.71
0.295,-0.69
0.29,-0.675
0.275,-0.66
0.265,-0.66
0.255,-0.655
0.24,-0.65
0.23,-0.65
0.235,-0.63
0.28,-0.625
0.34,-0.64
0.34,-0.645
0.335,-0.67
0.325,-0.695
0.325,-0.675
0.325,-0.67
0.32,-0.675
0.305,-0.675
0.275,-0.67
0.26,-0.665
0.26,-0.65
0.265,-0.65
0.27,-0.645
0.265,-0.635
0.26,-0.635
0.26,-0.635
0.27,-0.64
0.27,-0.625
0.26,-0.62
0.255,-0.605
0.25,-0.615
0.28,-0.565
0.29,-0.555
0.3,-0.535
0.33,-0.545
0.355,-0.55
0.385,-0.555
0.41,-0.565
0.45,-0.57
0.495,-0.575
0.53,-0.585
0.55,-0.575
0.575,-0.555
0.605,-0.545
0.63,-0.535
0.65,-0.54
0.67,-0.555
0.67,-0.545
0.665,-0.54
0.665,-0.54
0.68,-0.51
0.69,-0.51
0.695,-0.515
0.7,-0.515
0.7,-0.525
0.68,-0.535
0.65,-0.53
0.63,-0.53
0.6,-0.515
0.57,-0.5
0.545,-0.505
0.515,-0.51
0.485,-0.505
0.44,-0.49
0.4,-0.485
0.38,-0.48
0.38,-0.48
0.345,-0.47
0.33,-0.455
0.32,-0.445
0.305,-0.445
0.275,-0.44
0.24,-0.43
0.215,-0.43
0.205,-0.45
0.215,-0.465
0.23,-0.46
0.235,-0.46
0.245,-0.47
0.265,-0.46
0.28,-0.47
0.3,-0.48
0.32,-0.475
0.3,-0.475
0.29,-0.47
0.3,-0.465
0.325,-0.445
0.33,-0.45
0.33,-0.465
0.315,-0.475
0.315,-0.48
0.32,-0.48
0.315,-0.485
0.29,-0.495
0.275,-0.5
0.265,-0.49
0.245,-0.49
0.225,-0.495
0.2,-0.49
0.17,-0.49
0.16,-0.49
0.14,-0.485
0.15,-0.485
0.08,-0.49
0.065,-0.5
0.07,-0.51
0.06,-0.51
0.055,-0.505
0.045,-0.495
0.045,-0.495
0.04,-0.49
0.045,-0.485
0.035,-0.495
0.03,-0.51
0.03,-0.52
0.02,-0.525
0.02,-0.515
0.02,-0.515
0.015,-0.525
0.015,-0.5
0.02,-0.49
0.03,-0.495
0.02,-0.495
0.02,-0.495
0.025,-0.49
0.015,-0.475
0.005,-0.475
0.0,-0.48
0.005,-0.475
0.005,-0.475
0.005,-0.475
0.015,-0.485
0.065,-0.485
0.06,-0.505
0.015,-0.515
-0.06,-0.47
-0.08,-0.445
-0.095,-0.425
-0.09,-0.425
-0.08,-0.42
-0.035,-0.44
-0.005,-0.49
-0.085,-0.49
-0.12,-0.48
-0.125,-0.455
-0.095,-0.455
-0.08,-0.45
-0.09,-0.445
-0.155,-0.445
-0.125,-0.435
-0.065,-0.45
0.0,-0.49
-0.05,-0.54
-0.085,-0.53
-0.115,-0.485
-0.13,-0.485
-0.135,-0.465
-0.15,-0.45
-0.195,-0.45
-0.21,-0.45
-0.2,-0.445
-0.16,-0.45
-0.24,-0.455
-0.275,-0.45
-0.25,-0.42
-0.29,-0.42
-0.305,-0.41
-0.31,-0.395
-0.305,-0.405
-0.31,-0.44
-0.325,-0.47
-0.34,-0.485
-0.355,-0.51
-0.38,-0.53
-0.365,-0.53
-0.485,-0.53
-0.51,-0.515
-0.495,-0.495
-0.455,-0.48
-0.415,-0.475
-0.38,-0.475
-0.37,-0.475
-0.355,-0.475
-0.34,-0.47
-0.34,-0.46
-0.38,-0.455
-0.405,-0.45
-0.395,-0.43
-0.365,-0.44
-0.34,-0.45
-0.32,-0.45
-0.275,-0.43
-0.235,-0.435
-0.205,-0.45
-0.205,-0.45
-0.205,-0.45
-0.205,-0.44
-0.23,-0.44
-0.235,-0.44
-0.24,-0.435
-0.23,-0.415
-0.265,-0.415
-0.27,-0.41
-0.25,-0.4
-0.2,-0.4
-0.145,-0.39
-0.075,-0.38
0.015,-0.38
0.08,-0.38
0.155,-0.37
0.115,-0.375
0.28,-0.365
0.3,-0.365
0.315,-0.355
0.345,-0.365
0.365,-0.37
0.385,-0.38
0.365,-0.36
0.365,-0.365
0.36,-0.38
0.33,-0.38
0.275,-0.385
0.21,-0.395
0.13,-0.4
0.065,-0.4
0.0,-0.405
-0.065,-0.42
-0.125,-0.42
-0.14,-0.43
-0.15,-0.435
-0.22,-0.43
-0.235,-0.43
-0.22,-0.425
-0.185,-0.385
-0.185,-0.385
-0.175,-0.38
-0.135,-0.35
-0.08,-0.34
-0.065,-0.32
-0.08,-0.295
-0.06,-0.295
-0.05,-0.275
-0.04,-0.255
-0.025,-0.255
-0.02,-0.25
-0.03,-0.255
-0.015,-0.255
-0.06,-0.3
-0.055,-0.305
-0.065,-0.285
-0.08,-0.295
-0.08,-0.305
-0.065,-0.315
-0.08,-0.3
-0.085,-0.305
-0.085,-0.315
-0.08,-0.31
-0.09,-0.315
-0.11,-0.325
-0.13,-0.335
-0.145,-0.335
-0.155,-0.34
-0.16,-0.355
-0.195,-0.355
-0.225,-0.37
-0.25,-0.39
-0.285,-0.37
-0.295,-0.36
-0.3,-0.35
-0.31,-0.35
-0.345,-0.37
-0.365,-0.385
-0.385,-0.395
-0.38,-0.395
-0.375,-0.4
-0.385,-0.41
-0.385,-0.41
-0.375,-0.41
-0.355,-0.4
-0.36,-0.385
-0.365,-0.375
-0.37,-0.365
-0.365,-0.365
-0.41,-0.355
-0.42,-0.36
-0.42,-0.35
-0.42,-0.37
-0.45,-0.38
-0.485,-0.39
-0.5,-0.38
-0.505,-0.37
-0.515,-0.365
-0.53,-0.36
-0.535,-0.355
-0.525,-0.35
-0.505,-0.35
-0.515,-0.35
-0.515,-0.35
-0.49,-0.34
-0.48,-0.35
-0.48,-0.35
-0.485,-0.345
-0.485,-0.345
-0.48,-0.33
-0.465,-0.325
-0.465,-0.335
-0.45,-0.34
-0.44,-0.34
-0.435,-0.345
-0.45,-0.355
-0.455,-0.36
-0.465,-0.355
-0.46,-0.345
-0.455,-0.335
-0.44,-0.33
-0.41,-0.33
-0.4,-0.345
-0.39,-0.355
-0.395,-0.355
-0.36,-0.365
-0.355,-0.375
-0.345,-0.375
-0.35,-0.365
-0.355,-0.37
-0.355,-0.385
-0.34,-0.4
-0.34,-0.395
-0.365,-0.385
-0.42,-0.39
-0.445,-0.41
-0.45,-0.415
-0.425,-0.395
-0.42,-0.415
-0.415,-0.42
-0.42,-0.41
-0.4,-0.425
-0.395,-0.44
-0.395,-0.455
-0.41,-0.45
-0.41,-0.445
-0.39,-0.445
-0.36,-0.445
-0.35,-0.455
-0.355,-0.47
-0.375,-0.49
-0.35,-0.51
-0.335,-0.515
-0.325,-0.505
-0.32,-0.53
-0.31,-0.545
-0.305,-0.555
-0.305,-0.55
-0.345,-0.545
-0.39,-0.55
-0.375,-0.55
-0.43,-0.54
-0.425,-0.545
-0.43,-0.555
-0.415,-0.57
-0.415,-0.575
-0.435,-0.57
-0.445,-0.58
-0.455,-0.585
-0.465,-0.58
-0.465,-0.585
-0.465,-0.575
-0.47,-0.565
-0.46,-0.56
-0.445,-0.57
-0.435,-0.575
-0.435,-0.565
-0.425,-0.565
-0.415,-0.57
-0.41,-0.585
-0.425,-0.565
-0.44,-0.56
-0.46,-0.56
-0.47,-0.57
-0.455,-0.55
-0.445,-0.54
-0.44,-0.56
-0.465,-0.545
-0.47,-0.54
-0.45,-0.53
-0.4,-0.53
-0.355,-0.53
-0.325,-0.535
-0.32,-0.53
-0.315,-0.525
-0.32,-0.52
-0.32,-0.52
-0.335,-0.495
-0.33,-0.49
-0.325,-0.505
-0.34,-0.515
-0.34,-0.505
-0.325,-0.48
-0.325,-0.48
-0.325,-0.485
-0.33,-0.495
-0.355,-0.495
-0.355,-0.48
-0.325,-0.465
-0.275,-0.46
-0.245,-0.475
-0.25,-0.495
-0.28,-0.51
-0.275,-0.51
-0.255,-0.495
-0.24,-0.485
-0.22,-0.485
-0.215,-0.49
-0.205,-0.49
-0.19,-0.49
-0.175,-0.47
-0.16,-0.46
-0.15,-0.46
-0.11,-0.415
-0.08,-0.375
-0.06,-0.34
-0.04,-0.335
-0.01,-0.335
0.03,-0.345
0.075,-0.35
0.105,-0.345
0.12,-0.34
0.125,-0.335
0.09,-0.37
0.065,-0.395
0.04,-0.435
0.025,-0.435
0.01,-0.415
0.0,-0.39
0.035,-0.365
0.055,-0.35
0.075,-0.335
0.1,-0.295
0.105,-0.305
0.09,-0.315
0.055,-0.295
0.04,-0.285
0.02,-0.275
0.005,-0.26
0.005,-0.27
-0.01,-0.275
-0.035,-0.275
-0.085,-0.275
-0.15,-0.28
-0.21,-0.275
-0.245,-0.27
-0.285,-0.265
-0.325,-0.265
-0.365,-0.27
-0.38,-0.255
-0.395,-0.24
-0.415,-0.23
-0.415,-0.215
-0.41,-0.205
-0.405,-0.2
-0.45,-0.195
-0.425,-0.17
-0.395,-0.15
-0.405,-0.15
-0.38,-0.145
-0.38,-0.14
-0.36,-0.14
-0.355,-0.15
-0.35,-0.155
-0.35,-0.16
-0.325,-0.155
-0.31,-0.15
-0.295,-0.145
-0.26,-0.155
-0.25,-0.16
-0.225,-0.16
-0.19,-0.17
-0.19,-0.17
-0.17,-0.175
-0.14,-0.185
-0.12,-0.195
-0.11,-0.19
-0.11,-0.18
-0.11,-0.18
-0.125,-0.185
-0.15,-0.195
-0.18,-0.21
-0.22,-0.205
-0.265,-0.2
-0.315,-0.205
-0.36,-0.205
-0.405,-0.205
-0.445,-0.195
-0.485,-0.185
-0.52,-0.19
-0.55,-0.205
-0.575,-0.2
-0.595,-0.19
-0.615,-0.185
-0.61,-0.185
-0.64,-0.2
-0.65,-0.2
-0.66,-0.185
-0.66,-0.2
-0.665,-0.195
-0.66,-0.175
-0.67,-0.175
-0.67,-0.175
-0.665,-0.17
-0.66,-0.16
-0.665,-0.14
-0.665,-0.125
-0.645,-0.13
-0.64,-0.13
-0.665,-0.125
-0.705,-0.135
-0.665,-0.125
-0.645,-0.12
-0.65,-0.12
-0.695,-0.12
-0.7,-0.105
-0.69,-0.09
-0.695,-0.09
-0.725,-0.13
-0.75,-0.15
-0.775,-0.145
-0.82,-0.115
-0.85,-0.08
-0.85,-0.055
-0.725,-0.055
-0.71,-0.095
-0.76,-0.13
-0.885,-0.12
-0.865,-0.07
-0.835,-0.055
-0.835,-0.04
-0.815,-0.1
-0.805,-0.1
-0.81,-0.1
-0.82,-0.105
-0.825,-0.11
-0.835,-0.12
-0.86,-0.12
-0.875,-0.085
-0.88,-0.05
-0.87,-0.02
-0.865,-0.015
-0.875,-0.03
-0.895,-0.05
-0.915,-0.08
-0.935,-0.085
-0.96,-0.07
-0.98,-0.05
-0.955,-0.04
-0.92,-0.05
-0.955,-0.085
-1.06,-0.05
-1.14,-0.015
-1.16,-0.01
-1.175,-0.05
-1.215,-0.08
-1.28,-0.095
-1.28,-0.09
-1.255,-0.085
-1.225,-0.095
-1.24,-0.11
-1.255,-0.11
-1.27,-0.1
-1.27,-0.1
-1.26,-0.08
-1.275,-0.06
-1.25,-0.06
-1.295,-0.035
-1.23,-0.03
-1.15,-0.03
-1.115,-0.015
-1.11,-0.01
-1.125,-0.005
-1.14,0.015
-1.115,0.02
-1.055,0.015
-0.97,0.015
-0.935,0.02
-0.935,0.01
-0.975,0.0
-0.99,0.0
-0.965,0.01
-0.915,0.02
-0.895,0.03
-0.915,0.025
-0.94,0.01
-0.945,0.01
-0.94,0.02
-0.9,0.03
-0.84,0.035
-0.8,0.06
-0.78,0.075
-0.765,0.075
-0.705,0.075
-0.61,0.075
-0.51,0.075
-0.465,0.07
-0.43,0.06
-0.405,0.055
-0.405,0.06
-0.425,0.045
-0.45,0.025
-0.44,0.025
-0.53,0.025
-0.58,0.035
-0.62,0.055
-0.685,0.07
-0.735,0.08
-0.78,0.075
-0.855,0.06
-0.93,0.05
-1.005,0.04
-1.09,0.02
-1.145,0.01
-1.175,0.01
-1.165,0.035
-1.155,0.07
-1.14,0.09
-1.125,0.105
-1.105,0.16
-1.095,0.185
-1.085,0.2
-1.065,0.195
-1.04,0.18
-1.02,0.165
-1.015,0.165
-1.0,0.16
-0.985,0.175
-0.955,0.2
-0.97,0.195
-0.97,0.205
-0.95,0.225
-0.91,0.225
-0.885,0.225
-0.865,0.23
-0.875,0.215
-0.875,0.205
-0.87,0.18
-0.87,0.195
-0.86,0.13
-0.87,0.125
-0.89,0.125
-0.905,0.09
-0.915,0.07
-0.925,0.06
-0.92,0.055
-0.905,0.08
-0.885,0.1
-0.865,0.075
-0.895,0.08
-0.935,0.095
-0.965,0.11
-0.965,0.11
-0.955,0.105
-0.94,0.105
-0.92,0.105
-0.92,0.095
-0.935,0.08
-0.96,0.1
-0.995,0.115
-1.02,0.125
-1.03,0.125
-1.045,0.135
-1.05,0.15
-1.06,0.175
-1.09,0.17
-1.12,0.17
-1.145,0.18
-1.16,0.16
-1.145,0.155
-1.13,0.15
-1.16,0.15
-1.165,0.15
-1.165,0.15
-1.165,0.15
-1.16,0.135
-1.16,0.13
-1.145,0.14
-1.13,0.155
-1.125,0.16
-1.12,0.17
-1.115,0.17
-1.105,0.175
-1.1,0.185
-1.1,0.175
-1.1,0.175
-1.09,0.185
-1.065,0.18
-1.05,0.185
-1.035,0.175
-1.03,0.145
-1.065,0.155
-1.075,0.16
-1.065,0.155
-1.045,0.15
-1.04,0.145
-1.04,0.145
-1.04,0.15
-1.015,0.145
-1.005,0.145
-0.995,0.155
-1.04,0.14
-1.055,0.13
-1.045,0.12
-1.045,0.115
-1.035,0.11
-1.02,0.11
-0.995,0.095
-0.99,0.09
-0.985,0.085
-0.985,0.09
-0.98,0.065
-0.98,0.065
-0.995,0.08
-0.975,0.08
-0.97,0.06
-0.985,0.04
-0.975,0.04
-0.97,0.035
-0.965,0.025
-0.96,0.025
-0.96,0.02
-0.97,0.015
-0.975,0.01
-0.975,-0.005
-0.965,-0.015
-0.95,-0.025
-0.96,-0.025
-0.95,-0.025
-0.935,-0.015
-0.93,-0.03
-0.925,-0.035
-0.925,-0.04
-0.94,-0.065
-0.945,-0.07
-0.95,-0.085
-0.955,-0.105
-0.925,-0.105
-0.92,-0.105
-0.93,-0.115
-0.93,-0.12
-0.95,-0.13
-0.96,-0.14
-0.93,-0.155
-0.925,-0.16
-0.93,-0.155
-0.93,-0.155
-0.935,-0.145
-0.925,-0.135
-0.905,-0.145
-0.905,-0.16
-0.895,-0.16
-0.875,-0.145
-0.825,-0.165
-0.81,-0.18
-0.81,-0.19
-0.81,-0.19
-0.815,-0.18
-0.82,-0.175
-0.81,-0.185
-0.795,-0.17
-0.77,-0.155
-0.745,-0.145
-0.725,-0.145
-0.695,-0.145
-0.675,-0.15
-0.675,-0.15
-0.705,-0.145
-0.715,-0.14
-0.68,-0.12
-0.62,-0.13
-0.585,-0.14
-0.57,-0.14
-0.56,-0.14
-0.515,-0.145
-0.46,-0.135
-0.48,-0.155
-0.505,-0.16
-0.535,-0.16
-0.555,-0.135
-0.58,-0.115
-0.595,-0.095
-0.595,-0.1
-0.57,-0.09
-0.545,-0.115
-0.53,-0.14
-0.53,-0.14
-0.5,-0.14
-0.47,-0.155
-0.485,-0.175
-0.49,-0.18
-0.5,-0.175
-0.515,-0.16
-0.51,-0.15
-0.495,-0.14
-0.48,-0.13
-0.465,-0.115
-0.435,-0.095
-0.405,-0.07
-0.405,-0.065
-0.405,-0.045
-0.41,-0.02
-0.39,0.0
-0.38,0.05
-0.365,0.085
-0.34,0.085
-0.295,0.09
-0.275,0.07
-0.265,0.03
-0.25,0.005
-0.245,-0.005
-0.255,0.005
-0.29,0.01
-0.31,0.01
-0.33,0.005
-0.35,0.0
-0.345,0.015
-0.335,0.03
-0.335,0.03
-0.335,0.03
-0.345,0.03
-0.35,0.045
-0.335,0.035
-0.335,0.035
-0.35,0.05
-0.38,0.06
-0.395,0.075
-0.41,0.085
-0.44,0.08
-0.46,0.07
-0.48,0.07
-0.505,0.09
-0.495,0.09
-0.495,0.09
-0.51,0.1
-0.505,0.095
-0.515,0.105
-0.53,0.12
-0.535,0.09
-0.525,0.115
-0.51,0.13
-0.51,0.105
-0.5,0.105
-0.495,0.105
-0.49,0.085
-0.46,0.085
-0.435,0.08
-0.41,0.085
-0.385,0.07
-0.325,0.08
-0.26,0.095
-0.19,0.08
-0.15,0.075
-0.13,0.06
-0.13,0.07
-0.095,0.04
-0.075,0.04
-0.055,0.02
-0.07,0.025
-0.08,0.03
-0.1,0.04
-0.135,0.03
-0.17,0.025
-0.215,0.025
-0.27,0.035
-0.31,0.04
-0.345,0.035
-0.365,0.035
-0.41,0.035
-0.44,0.04
-0.465,0.05
-0.485,0.04
-0.505,0.04
-0.525,0.05
-0.525,0.055
-0.53,0.055
-0.545,0.045
-0.565,0.045
-0.57,0.055
-0.58,0.05
-0.6,0.03
-0.595,0.035
-0.59,0.045
-0.595,0.055
-0.61,0.055
-0.615,0.055
-0.615,0.065
-0.61,0.065
-0.625,0.05
-0.645,0.045
-0.64,0.035
-0.645,0.08
-0.635,0.09
-0.64,0.105
-0.61,0.105
-0.595,0.1
-0.595,0.085
-0.65,0.07
-0.68,0.085
-0.655,0.1
-0.535,0.08
-0.55,0.055
-0.59,0.05
-0.65,0.08
-0.675,0.095
-0.73,0.095
-0.795,0.085
-0.77,0.13
-0.69,0.125
-0.615,0.1
-0.635,0.07
-0.62,0.065
-0.635,0.065
-0.735,0.055
-0.815,0.07
-0.855,0.095
-0.85,0.135
-0.86,0.135
-0.865,0.125
-0.87,0.1
-0.895,0.12
-0.905,0.135
-0.84,0.145
-0.61,0.14
-0.625,0.06
-0.71,0.035
-0.66,0.01
-0.83,0.14
-0.845,0.145
-0.88,0.11
-0.99,0.12
-1.05,0.125
-1.07,0.115
-1.035,0.13
-1.015,0.095
-1.01,0.05
-1.045,0.035
-1.07,0.035
-1.095,0.045
-1.125,0.055
-1.125,0.065
-1.13,0.07
-1.14,0.08
-1.13,0.075
-1.12,0.07
-1.1,0.075
-1.055,0.08
-0.975,0.09
-0.885,0.1
-0.77,0.1
-0.76,0.09
-0.8,0.09
-0.885,0.11
-0.9,0.11
-0.93,0.1
-0.965,0.08
-1.02,0.08
-1.075,0.08
-1.125,0.075
-1.145,0.075
-1.165,0.09
-1.165,0.11
-1.18,0.1
-1.05,0.135
-0.975,0.14
-0.89,0.135
-0.82,0.15
-0.74,0.15
-0.665,0.135
-0.625,0.135
-0.55,0.14
-0.475,0.135
-0.41,0.125
-0.405,0.12
-0.435,0.115
-0.49,0.125
-0.525,0.11
-0.545,0.095
-0.56,0.085
-0.56,0.095
-0.555,0.125
-0.56,0.145
-0.565,0.12
-0.61,0.12
-0.675,0.12
-0.765,0.105
-0.81,0.1
-0.83,0.095
-0.83,0.08
-0.845,0.1
-0.855,0.11
-0.855,0.11
-0.845,0.135
-0.85,0.13
-0.865,0.115
-0.865,0.13
-0.85,0.135
-0.84,0.14
-0.84,0.14
-0.875,0.145
-0.88,0.145
-0.86,0.165
-0.845,0.165
-0.83,0.165
-0.82,0.18
-0.825,0.205
-0.815,0.21
-0.8,0.22
-0.8,0.235
-0.795,0.245
-0.785,0.25
-0.775,0.24
-0.785,0.21
-0.8,0.185
-0.81,0.17
-0.81,0.175
-0.825,0.18
-0.845,0.175
-0.845,0.14
-0.82,0.13
-0.815,0.125
-0.85,0.12
-0.84,0.1
-0.83,0.09
-0.84,0.095
-0.84,0.1
-0.855,0.105
-0.87,0.095
-0.865,0.11
-0.865,0.115
-0.87,0.12
-0.87,0.145
-0.875,0.15
-0.87,0.155
-0.87,0.155
-0.87,0.14
-0.87,0.13
-0.86,0.135
-0.865,0.135
-0.88,0.12
-0.9,0.1
-0.885,0.1
-0.885,0.105
-0.9,0.1
-0.925,0.09
-0.91,0.085
-0.895,0.09
-0.895,0.1
-0.875,0.075
-0.865,0.05
-0.875,0.035
-0.875,0.055
-0.855,0.08
-0.835,0.095
-0.835,0.11
-0.835,0.12
-0.845,0.125
-0.855,0.115
-0.84,0.1
-0.825,0.1
-0.83,0.115
-0.82,0.1
-0.815,0.08
-0.815,0.06
-0.815,0.065
-0.81,0.07
-0.81,0.075
-0.81,0.075
-0.795,0.075
-0.785,0.075
-0.785,0.075
-0.775,0.07
-0.77,0.06
-0.78,0.06
-0.78,0.06
-0.785,0.055
-0.78,0.065
-0.765,0.07
-0.76,0.065
-0.755,0.055
-0.745,0.065
-0.715,0.07
-0.695,0.07
-0.695,0.07
-0.685,0.07
-0.68,0.065
-0.685,0.075
-0.685,0.05
-0.695,0.035
-0.705,0.03
-0.725,0.03
-0.73,0.01
-0.72,-0.01
-0.71,-0.02
-0.705,-0.02
-0.7,-0.015
-0.695,-0.025
-0.69,-0.045
-0.7,-0.075
-0.72,-0.1
-0.695,-0.105
-0.68,-0.12
-0.66,-0.13
-0.625,-0.135
-0.62,-0.17
-0.625,-0.195
-0.625,-0.195
-0.605,-0.205
-0.59,-0.21
-0.58,-0.205
-0.565,-0.205
-0.56,-0.22
-0.56,-0.235
-0.56,-0.25
-0.55,-0.26
-0.54,-0.265
-0.54,-0.265
-0.54,-0.27
-0.535,-0.265
-0.54,-0.255
-0.52,-0.28
-0.51,-0.295
-0.505,-0.3
-0.49,-0.32
-0.48,-0.31
-0.465,-0.295
-0.445,-0.295
-0.43,-0.305
-0.42,-0.315
-0.425,-0.315
-0.42,-0.33
-0.42,-0.335
-0.44,-0.325
-0.445,-0.325
-0.45,-0.335
-0.46,-0.345
-0.46,-0.34
-0.455,-0.325
-0.44,-0.31
-0.44,-0.31
-0.45,-0.315
-0.45,-0.325
-0.46,-0.325
-0.345,-0.31
-0.32,-0.325
-0.35,-0.345
-0.43,-0.345
-0.455,-0.31
-0.435,-0.27
-0.385,-0.27
-0.31,-0.285
-0.225,-0.3
-0.13,-0.31
-0.115,-0.31
-0.135,-0.305
-0.19,-0.315
-0.21,-0.28
-0.195,-0.26
-0.15,-0.255
-0.12,-0.255
-0.09,-0.26
-0.055,-0.26
-0.005,-0.26
0.045,-0.275
0.08,-0.285
0.075,-0.29
0.055,-0.295
0.045,-0.285
0.035,-0.255
0.07,-0.245
0.105,-0.245
0.14,-0.255
0.125,-0.26
0.11,-0.255
0.1,-0.24
0.115,-0.24
0.13,-0.24
0.15,-0.23
0.14,-0.24
0.185,-0.215
0.19,-0.22
0.195,-0.21
0.21,-0.2
0.22,-0.195
0.22,-0.19
0.19,-0.19
0.22,-0.18
0.27,-0.175
0.32,-0.165
0.325,-0.17
0.315,-0.18
0.3,-0.17
0.3,-0.165
0.305,-0.15
0.32,-0.135
0.32,-0.125
0.32,-0.12
0.325,-0.125
0.325,-0.11
0.32,-0.105
0.32,-0.11
0.315,-0.105
0.28,-0.105
0.23,-0.11
0.165,-0.115
0.165,-0.095
0.14,-0.095
0.105,-0.11
0.105,-0.13
0.12,-0.12
0.13,-0.11
0.125,-0.13
0.095,-0.12
0.085,-0.105
0.075,-0.105
0.115,-0.085
0.12,-0.08
0.135,-0.08
0.16,-0.08
0.195,-0.07
0.23,-0.05
0.245,-0.05
0.265,-0.05
0.29,-0.04
0.31,-0.05
0.34,-0.07
0.355,-0.085
0.36,-0.095
0.41,-0.095
0.435,-0.11
